seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
577,0,8,2,2,0,168,144,2,0xFFFF,65535
579,0,72,2,2,0,168,144,2,0xE96F,28649
581,0,72,2,2,0,176,144,2,0x0170,28673
583,0,72,2,2,0,184,144,2,0x1570,28693
585,0,8,2,2,0,192,144,2,0xFFFF,65535
587,0,72,2,2,0,192,144,2,0x2970,28713
589,0,72,2,2,0,200,144,2,0x416F,28481
591,0,72,2,2,0,208,144,2,0x556F,28501
593,0,8,2,2,0,216,144,2,0xFFFF,65535
595,0,72,2,2,0,216,144,2,0x6970,28777
597,0,72,2,2,0,224,144,2,0x816F,28545
599,0,72,2,2,0,232,144,2,0x9570,28821
601,0,8,2,2,0,240,144,2,0xFFFF,65535
603,0,72,2,2,0,240,144,2,0xA970,28841
605,0,72,2,2,0,248,144,2,0xC170,28865
607,0,72,2,2,0,0,144,2,0xD56F,28629
609,0,8,2,2,0,8,144,2,0xFFFF,65535
611,0,72,2,2,0,8,144,2,0xE970,28905
613,0,72,2,2,0,16,144,2,0x0170,28673
615,0,72,2,2,0,24,144,2,0x156F,28437
617,0,8,2,2,0,32,144,2,0xFFFF,65535
619,0,72,2,2,0,32,144,2,0x2970,28713
621,0,72,2,2,0,40,144,2,0x4170,28737
623,0,72,2,2,0,48,144,2,0x5570,28757
625,0,8,2,2,0,56,144,2,0xFFFF,65535
627,0,72,2,2,0,56,144,2,0x6970,28777
629,0,72,2,2,0,64,144,2,0x8170,28801
631,0,72,2,2,0,72,144,2,0x9570,28821
633,0,8,2,2,0,80,144,2,0xFFFF,65535
635,0,72,2,2,0,80,144,2,0xA970,28841
637,0,72,2,2,0,88,144,2,0xC16F,28609
639,0,72,2,2,0,96,144,2,0xD570,28885
641,0,8,2,2,0,104,144,2,0xFFFF,65535
643,0,72,2,2,0,104,144,2,0xE96F,28649
645,0,72,2,2,0,112,144,2,0x016F,28417
647,0,72,2,2,0,120,144,2,0x1570,28693
649,0,8,2,2,0,128,144,2,0xFFFF,65535
651,0,72,2,2,0,128,144,2,0x2970,28713
653,0,72,2,2,0,136,144,2,0x416F,28481
655,0,72,2,2,0,144,144,2,0x5570,28757
657,0,8,2,2,0,152,144,2,0xFFFF,65535
659,0,72,2,2,0,152,144,2,0x6970,28777
661,0,72,2,2,0,160,144,2,0x816F,28545
663,0,72,2,2,0,168,144,2,0x956F,28565
665,0,8,2,2,0,176,144,2,0xFFFF,65535
667,0,72,2,2,0,176,144,2,0xA970,28841
669,0,72,2,2,0,184,144,2,0xC16F,28609
671,0,72,2,2,0,192,144,2,0xD56F,28629
673,0,8,2,2,0,200,144,2,0xFFFF,65535
675,0,72,2,2,0,200,144,2,0xE970,28905
677,0,72,2,2,0,208,144,2,0x0170,28673
679,0,72,2,2,0,216,144,2,0x1570,28693
681,0,8,2,2,0,224,144,2,0xFFFF,65535
683,0,72,2,2,0,224,144,2,0x2970,28713
685,0,72,2,2,0,232,144,2,0x4170,28737
687,0,72,2,2,0,240,144,2,0x5570,28757
689,0,8,2,2,0,248,144,2,0xFFFF,65535
691,0,72,2,2,0,248,144,2,0x696F,28521
693,0,72,2,2,0,0,144,2,0x8170,28801
695,0,72,2,2,0,8,144,2,0x9570,28821
697,0,8,2,2,0,16,144,2,0xFFFF,65535
699,0,72,2,2,0,16,144,2,0xA970,28841
701,0,72,2,2,0,24,144,2,0xC16F,28609
703,0,72,2,2,0,32,144,2,0xD56F,28629
705,0,8,2,2,0,40,144,2,0xFFFF,65535
707,0,72,2,2,0,40,144,2,0xE970,28905
709,0,72,2,2,0,48,144,2,0x016F,28417
711,0,72,2,2,0,56,144,2,0x1570,28693
713,0,8,2,2,0,64,144,2,0xFFFF,65535
715,0,72,2,2,0,64,144,2,0x2970,28713
717,0,72,2,2,0,72,144,2,0x416F,28481
719,0,72,2,2,0,80,144,2,0x5570,28757
721,0,8,2,2,0,88,144,2,0xFFFF,65535
723,0,72,2,2,0,88,144,2,0x6970,28777
725,0,72,2,2,0,96,144,2,0x816F,28545
727,0,72,2,2,0,104,144,2,0x9570,28821
729,0,8,2,2,0,112,144,2,0xFFFF,65535
731,0,72,2,2,0,112,144,2,0xA970,28841
733,0,72,2,2,0,120,144,2,0xC16F,28609
735,0,72,2,2,0,128,144,2,0xD56F,28629
737,0,8,2,2,0,136,144,2,0xFFFF,65535
739,0,72,2,2,0,136,144,2,0xE96F,28649
