seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
493,1,72,0,2,0,0,144,255,0xFFFF,65535
495,1,72,0,2,0,0,144,255,0xFFFF,65535
497,1,72,0,2,0,0,144,255,0xFFFF,65535
499,1,72,0,2,0,0,144,255,0xFFFF,65535
501,1,72,0,2,0,136,144,1,0x0E28,10254
503,1,72,0,2,0,160,144,1,0x0295,38146
505,1,8,0,2,0,168,144,255,0xFFFF,65535
507,1,72,0,2,0,168,144,1,0x0BFF,65291
509,1,72,0,2,0,176,144,1,0x0169,26881
511,1,8,0,2,0,184,144,255,0xFFFF,65535
513,1,72,0,2,0,184,144,1,0x0AD3,54026
515,1,72,0,2,0,192,144,1,0x003D,15616
517,1,72,0,2,0,200,144,1,0x05A8,43013
519,1,8,0,2,0,208,144,255,0xFFFF,65535
521,1,72,0,2,0,208,144,1,0x0F12,4623
523,1,72,0,2,0,216,144,1,0x047C,31748
525,1,8,0,2,0,224,144,255,0xFFFF,65535
527,1,72,0,2,0,224,144,1,0x0DE7,59149
529,1,72,0,2,0,232,144,1,0x0351,20739
531,1,8,0,2,0,240,144,255,0xFFFF,65535
533,1,72,0,2,0,240,144,1,0x0CBB,47884
535,1,72,0,2,0,248,144,1,0x0225,9474
537,1,8,0,2,0,0,144,255,0xFFFF,65535
539,1,72,0,2,0,0,144,1,0x0B8F,36619
541,1,72,0,2,0,8,144,1,0x00F9,63744
543,1,8,0,2,0,16,144,255,0xFFFF,65535
545,1,72,0,2,0,16,144,1,0x0A64,25610
547,1,72,0,2,0,24,144,1,0x0FCE,52751
549,1,72,0,2,0,32,144,1,0x0538,14341
551,1,8,0,2,0,40,144,255,0xFFFF,65535
553,1,72,0,2,0,40,144,1,0x0EA3,41742
555,1,72,0,2,0,48,144,1,0x040D,3332
557,1,8,0,2,0,56,144,255,0xFFFF,65535
559,1,72,0,2,0,56,144,1,0x0D77,30477
561,1,72,0,2,0,64,144,1,0x02E1,57602
