idx,channel,size,syt_be,syt
902,1,72,0x0170,28673
904,1,72,0x1570,28693
906,1,8,0xFFFF,65535
908,1,72,0x2970,28713
910,1,72,0x416F,28481
912,1,72,0x556F,28501
914,1,8,0xFFFF,65535
916,1,72,0x696F,28521
918,1,72,0x8170,28801
920,1,72,0x9570,28821
922,1,8,0xFFFF,65535
924,1,72,0xA96F,28585
926,1,72,0xC16F,28609
928,1,72,0xD570,28885
930,1,8,0xFFFF,65535
932,1,72,0xE970,28905
934,1,72,0x0170,28673
936,1,72,0x156F,28437
938,1,8,0xFFFF,65535
940,1,72,0x296F,28457
942,1,72,0x4170,28737
944,1,72,0x5570,28757
946,1,8,0xFFFF,65535
948,1,72,0x696F,28521
950,1,72,0x816F,28545
952,1,72,0x956F,28565
954,1,8,0xFFFF,65535
956,1,72,0xA96F,28585
958,1,72,0xC170,28865
960,1,72,0xD56F,28629
962,1,8,0xFFFF,65535
964,1,72,0xE970,28905
966,1,72,0x016F,28417
968,1,72,0x156F,28437
